mes,TEMPERATURA_AR_BULBO_SECO_C,UMIDADE_RELATIVA_AR_percent,PRECIPITACAO_TOTAL_HORARIO_mm,RADIACAO_GLOBAL_Kj_m2,VENTO_RAJADA_MAXIMA_m_s
2023-01,25.89089655172416,83.88413793103449,0.3740689655172411,515.1800000000001,3.680000000000002
2023-02,25.970398773006146,85.18711656441718,0.5423312883435581,539.4779141104298,3.6323619631901813
2023-03,26.533697135061402,83.75716234652114,0.560982264665757,533.3276944065481,3.777216916780361
2023-04,27.054455445544523,81.85007072135785,0.38727015558698713,560.9035360678926,3.689235127478756
2023-05,27.847138964577642,80.1158038147139,0.18392370572207084,511.27503429355323,3.768076398362891
2023-06,28.076111111111103,75.4,0.06722222222222221,472.9401388888888,3.8999999999999995
2023-07,29.426881720430075,68.13306451612904,0.09381720430107526,558.5717741935482,4.069623655913976
2023-08,30.490860215053775,64.1760752688172,0.024193548387096774,656.3821236559145,4.263306451612905
2023-09,30.74727272727274,62.4979020979021,0.05986013986013987,722.5593006993004,4.2212587412587395
2023-10,30.779616963064313,63.23529411764706,0.12339261285909711,699.7238030095759,4.02694938440493
2023-11,29.867369901547118,69.16596343178621,0.18959212376933893,647.3784810126581,3.9438818565400817
2023-12,27.593055555555576,82.15277777777777,0.44583333333333325,497.25041666666664,3.526388888888891
2024-01,28.15027624309392,77.88674033149171,0.18922651933701662,634.8395027624308,4.3563535911602225
2024-02,28.43809523809519,76.77678571428571,0.4505952380952379,691.4918154761903,4.501339285714285
2024-03,27.757859078590783,82.02710027100271,0.5688346883468831,553.173848238482,3.944579945799455
2024-04,27.79513888888888,82.02222222222223,0.30361111111111105,488.19722222222174,3.6302777777777813
2024-05,27.53655913978499,83.53091397849462,0.5204301075268816,373.7842741935481,3.517741935483874
2024-06,28.55916666666665,76.13055555555556,0.16,414.8011111111111,3.6450000000000027
2024-07,29.46567967698521,67.0013458950202,0.07994616419919247,497.08721399730786,3.9842530282637942
2024-08,30.42180349932708,62.21265141318977,0.02288021534320323,603.4699865410497,4.142934051144012
2024-09,31.59187675070026,59.21148459383753,0.08711484593837536,693.9670868347345,4.539215686274511
2024-10,30.086277173913018,66.78804347826087,0.10896739130434784,703.2364130434776,3.9885714285714284
2024-11,29.142957746478853,73.29577464788733,0.15915492957746485,623.7095774647886,3.8378873239436673
2024-12,27.3419836956522,82.10461956521739,0.41249999999999987,490.47391304347815,3.6119565217391307
2025-01,26.79283746556473,83.1694214876033,0.3980716253443527,553.2082644628097,3.7411845730027498
2025-02,26.477945619335376,84.27341389728096,0.3247734138972808,556.0672205438066,3.6830815709969826
2025-03,26.6617166212534,83.5558583106267,0.5648501362397818,552.1508174386921,3.8869209809264316
2025-04,27.158553546592476,82.73713490959666,0.3457579972183588,569.5972183588315,3.50472878998609
2025-05,27.546102150537642,80.09408602150538,0.08548387096774196,555.3971774193552,3.4737903225806464
